In,Node,Closeness,Betweeness,Sujeto,Posicion,Ensayo,Selection
1,Superior image,0.25,1,103,3,19,Comentarios
2,Central image,0.16666666666666666,0,103,3,19,Comentarios
1,Inferior image,0.3333333333333333,0,103,3,19,Comentarios
1,Superior image,0.047619047619047616,0,104,3,0,Real
2,Central image,0.04,1,104,3,0,Real
2,Inferior image,0.03333333333333333,0,104,3,0,Real
1,Inferior review score,0.03333333333333333,0,104,3,0,Real
0,Superior location score,0.04,0,104,3,0,Real
1,Superior price,0.03333333333333333,0,104,3,0,Real
3,Superior image,0.017857142857142856,0,104,2,1,Precio
2,Central image,0.017857142857142856,0,104,2,1,Precio
1,Inferior image,0.02040816326530612,0,104,2,1,Precio
0,Inferior Number of comments,0.02040816326530612,0,104,2,1,Precio
0,Superior price,0.02040816326530612,0,104,2,1,Precio
1,Center review score,0.017857142857142856,0,104,2,1,Precio
1,Superior location score,0.017857142857142856,0,104,2,1,Precio
1,Center price,0.017857142857142856,0,104,2,1,Precio
2,Superior image,0.16666666666666666,0,104,2,2,Real
1,Central image,0.16666666666666666,0,104,2,2,Real
0,Inferior image,0.25,0,104,2,2,Real
2,Superior image,0.02040816326530612,0,104,3,3,Real
3,Central image,0.017857142857142856,0,104,3,3,Real
1,Inferior image,0.017857142857142856,0,104,3,3,Real
0,Superior Dist from center,0.023255813953488375,0,104,3,3,Real
1,Superior review score,0.02040816326530612,1,104,3,3,Real
0,Center location score,0.02040816326530612,0,104,3,3,Real
1,Superior location score,0.017857142857142856,0,104,3,3,Real
1,Center price,0.017857142857142856,0,104,3,3,Real
1,Superior image,0.03333333333333333,0,104,2,4,Real
2,Central image,0.03333333333333333,0,104,2,4,Real
1,Inferior image,0.04,0,104,2,4,Real
0,Superior price,0.04,0,104,2,4,Real
1,Center Number of comments,0.03333333333333333,0,104,2,4,Real
1,Center price,0.03333333333333333,0,104,2,4,Real
2,Superior image,0.16666666666666666,0,104,1,5,Real
